stim,coherence,difficulty,motionstrength,resp,rt,correct,correctM,trialnr,blocknr,sessionnr,subjnr,baseline_pupil,int1motion,int2motion,rtNorm,decision_pupil,feedback_pupil,trialend_pupil,response_pupil
1,0.0125,1,0.6680136,-1,0.15,0,0,40,1,2,10,-0.990436,12.33881,13.00682,-0.2580415,1.124342,1.842966,1.251125,1.493891
1,0.1,4,1.691316,1,0.17,1,1,41,1,2,10,-1.170661,12.75024,14.44156,-0.0694299,1.931742,2.046841,2.1868,1.34553
-1,0.025,2,-0.1405077,-1,0.00999999,1,1,42,1,2,10,0.8989747,12.62163,12.48112,-2.270049,-0.1408279,-0.05421754,0.3083687,0.5359669
1,0.05,3,0.6408024,-1,0.15,0,0,43,1,2,10,0.1024015,12.71509,13.35589,-0.2580415,-3.304708,-1.312716,-0.5654067,0.7651911
1,0.025,2,-0.001893044,-1,0.11,0,1,44,1,2,10,-1.104745,12.8468,12.84491,-0.6853355,-1.317964,-2.232645,-2.117125,1.109827
-1,0.0125,1,-0.4558601,1,0.22,0,0,45,1,2,10,-2.979142,12.77854,12.32268,0.3469482,1.589396,2.377051,3.023395,2.486388
1,0.3,5,5.449564,1,0.2,1,1,46,1,2,10,-0.5175815,12.73965,18.18921,0.1887811,1.09335,1.266635,1.539678,0.8431773
1,0.0125,1,0.2903481,-1,0,0,0,47,1,2,10,-0.6639824,12.55114,12.84149,-2.503629,1.058959,1.288471,1.318405,0.9759579
1,0.0125,1,0.09099102,-1,0.02999997,0,0,48,1,2,10,-0.2377145,12.76623,12.85722,-1.860644,0.6972136,1.032722,0.8733572,0.4012034
-1,0.3,5,-5.917035,-1,0.16,1,1,49,1,2,10,0.1158658,12.96728,7.050243,-0.1619213,0.651053,0.6832302,0.4035257,0.5010297
-1,0.3,5,-5.534834,-1,0.1,1,1,50,1,2,10,-1.109005,12.61482,7.079988,-0.8049073,1.629388,1.631661,1.369879,1.292222
-1,0.025,2,-0.3871202,1,0.4,0,0,1,2,2,10,-1.338044,12.60249,12.21537,1.9448,-0.3680955,-0.538757,0.7021582,0.4486547
-1,0.1,4,-1.466151,-1,0.18,1,1,2,2,2,10,-0.9689621,12.56708,11.10093,0.5455225,1.481497,1.700342,1.422327,1.575604
-1,0.05,3,-1.006626,-1,0.17,1,1,3,2,2,10,-1.546799,12.78883,11.7822,0.4577563,1.187163,1.167771,0.7987832,0.961476
1,0.05,3,1.063704,1,0.13,1,1,4,2,2,10,0.7551876,12.51642,13.58013,0.07080065,-0.052025,-0.3597779,-0.1309101,0.1177058
1,0.3,5,5.520128,1,0.15,1,1,5,2,2,10,1.074679,12.85001,18.37014,0.2720256,-0.9553553,-2.570285,-2.931113,-0.7207823
1,0.0125,1,0.4490604,-1,0.17,0,0,6,2,2,10,-0.5720799,12.62813,13.07719,0.4577563,0.5793083,-0.5306664,1.014436,0.4652147
1,0.3,5,5.345747,1,0.05000001,1,1,7,2,2,10,0.8211268,12.63019,17.97594,-0.9607515,-0.6477023,-0.9570867,-1.000515,0.134336
1,0.0125,1,0.3846369,-1,0.1,0,0,8,2,2,10,-0.7713063,12.77642,13.16106,-0.266487,1.175165,1.280376,0.4730106,0.8923721
1,0.3,5,5.213329,1,0.02999997,1,1,9,2,2,10,-1.315629,12.83191,18.04524,-1.306098,1.207036,1.516605,1.947489,1.010613
1,0.1,4,1.687233,1,0.23,1,1,10,2,2,10,0.783393,12.83215,14.51938,0.9420356,-0.8365543,-0.6969151,-1.037887,-0.2041625
-1,0.05,3,-0.5143213,1,0.16,0,0,11,2,2,10,-0.2260452,12.70093,12.1866,0.3666776,0.01763562,0.05613995,0.4773072,0.3503504
1,0.1,4,1.858825,-1,0.32,0,0,12,2,2,10,-0.4303331,12.66528,14.52411,1.524033,0.1087614,0.2227287,0.6537712,1.163564
-1,0.05,3,-0.9488716,1,0,0,0,13,2,2,10,0.323327,12.79085,11.84198,-1.939262,0.06560202,0.1300612,0.2068369,0.2740103
1,0.05,3,0.9059229,-1,0.15,0,0,14,2,2,10,0.1147654,12.58372,13.48964,0.2720256,0.4881572,0.5974458,0.6938636,0.6026289
-1,0.0125,1,-0.02961254,-1,0.2,1,1,15,2,2,10,0.5091487,12.53016,12.50054,0.7120231,0.2203393,0.2502949,-0.1944675,0.2768078
1,0.1,4,1.826132,-1,0.28,0,0,16,2,2,10,0.4722654,12.74464,14.57077,1.282501,0.1411506,0.2796584,0.2898489,0.3395476
-1,0.025,2,-0.3341827,-1,0.2,1,1,17,2,2,10,0.7278136,12.70511,12.37092,0.7120231,-0.1864776,-0.01257921,-0.537947,0.04326107
-1,0.3,5,-5.391701,-1,0.24,1,1,18,2,2,10,-2.083588,12.65356,7.261864,1.01408,1.609134,1.976801,2.423728,1.727784
1,0.1,4,1.842099,1,0.12,1,1,19,2,2,10,0.4114119,12.51004,14.35214,-0.03647484,-0.6752,-0.7441961,-0.5012495,-0.1267809
1,0.025,2,0.5370255,1,0,1,1,20,2,2,10,-0.8997331,12.70617,13.24319,-1.939262,0.03042527,0.4824953,0.3753966,0.9373401
-1,0.05,3,-0.7290125,-1,0.18,1,1,21,2,2,10,0.5512375,12.55392,11.82491,0.5455225,-0.3469488,-0.09283073,-2.714229,0.1334009
-1,0.05,3,-0.9734621,-1,0.1,1,1,22,2,2,10,-2.887271,12.6432,11.66974,-0.266487,1.553119,2.503558,2.447244,2.510309
-1,0.3,5,-5.309745,-1,0.15,1,1,23,2,2,10,-0.2616152,12.59873,7.288982,0.2720256,0.6467112,0.585331,0.4472212,0.6058757
1,0.025,2,0.5715714,1,0.01999998,1,1,24,2,2,10,0.07369205,12.73447,13.30604,-1.499265,0.3947397,0.8703303,1.174788,0.5202208
1,0.025,2,0.5303583,1,0.06,1,1,25,2,2,10,1.108309,12.76011,13.29047,-0.8050005,-0.821961,-0.5353233,-1.190085,-0.01771819
-1,0.1,4,-1.799764,1,0.22,0,0,26,2,2,10,-1.107323,12.68871,10.88895,0.8677744,1.169788,1.626917,1.575322,1.454112
1,0.025,2,0.2084818,1,0.02999997,1,1,27,2,2,10,0.319501,12.78462,12.9931,-1.306098,-1.045624,-0.3471803,-0.5434757,-0.4034912
1,0.1,4,1.810489,1,0,1,1,28,2,2,10,0.1181367,12.59958,14.41006,-1.939262,-2.227055,-2.154519,-2.551935,0.110198
1,0.1,4,1.744299,-1,0.17,0,0,29,2,2,10,-2.389469,12.77759,14.52189,0.4577563,2.785145,2.775522,2.99507,2.27383
-1,0.025,2,-0.2904129,1,0.39,0,0,30,2,2,10,0.2771986,12.48295,12.19254,1.896045,-0.7620159,0.1584346,0.1138621,0.7883858
-1,0.0125,1,-0.06229496,1,0.3,0,0,31,2,2,10,-0.08618344,12.56144,12.49915,1.406287,1.244003,1.446252,1.077099,1.176686
1,0.3,5,5.83005,1,0.07999998,1,1,32,2,2,10,1.021092,12.68793,18.51798,-0.5207545,0.2351818,0.2349069,0.07193252,0.4403294
1,0.0125,1,0.1587257,1,0.06999999,1,1,33,2,2,10,0.5369727,12.80252,12.96124,-0.658695,-0.8579741,-0.7922773,-0.4787746,0.719764
1,0.025,2,0.1382265,1,0.02999997,1,1,34,2,2,10,-1.685613,12.77202,12.91024,-1.306098,1.876841,2.084385,1.426729,1.472588
1,0.05,3,1.311984,1,0.05000001,1,1,35,2,2,10,-0.5177987,12.50617,13.81815,-0.9607515,-0.5500055,-0.7229236,-2.810234,0.605804
-1,0.05,3,-1.237844,1,0.11,0,0,36,2,2,10,-2.531283,12.73227,11.49443,-0.1487417,2.280787,2.489102,2.16861,2.105215
-1,0.1,4,-2.187061,1,0.15,0,0,37,2,2,10,-1.615019,12.92711,10.74005,0.2720256,1.339095,1.556829,2.029382,1.705878
-1,0.0125,1,-0.1380129,-1,0.2,1,1,38,2,2,10,-0.1252136,12.57847,12.44046,0.7120231,0.09821916,0.5253845,0.01377741,0.7760746
1,0.1,4,1.589098,1,0.1,1,1,39,2,2,10,-0.08066858,12.83773,14.42683,-0.266487,-1.351191,0.01980362,-0.3020038,0.4282247
-1,0.0125,1,-0.1647596,1,0.33,0,0,40,2,2,10,-1.427132,12.70046,12.5357,1.580819,1.977428,2.156022,0.7578228,1.76304
-1,0.0125,1,-0.3739519,1,0.17,0,0,41,2,2,10,-1.86718,12.75964,12.38569,0.4577563,1.698391,1.999396,1.714045,1.624994
-1,0.025,2,-0.5280247,1,0.1,0,0,42,2,2,10,-0.5096074,12.77019,12.24216,-0.266487,0.9367854,0.6462168,-0.1350136,0.9096409
-1,0.3,5,-5.732487,-1,0.07999998,1,1,43,2,2,10,-2.334158,12.8867,7.154211,-0.5207545,1.872911,1.851872,1.92987,1.913109
-1,0.3,5,-5.385989,-1,0.07999998,1,1,44,2,2,10,0.0731898,12.73586,7.349868,-0.5207545,0.1961345,0.515648,0.2879567,0.08118904
1,0.3,5,5.469371,1,0.01999998,1,1,45,2,2,10,-2.079719,12.64745,18.11683,-1.499265,1.832825,1.701787,2.261659,2.01659
-1,0.025,2,-0.9139633,1,0.1,0,0,46,2,2,10,-1.334275,12.83773,11.92377,-0.266487,1.551414,0.8929869,0.970461,1.386066
-1,0.0125,1,-0.2662525,1,0.25,0,0,47,2,2,10,0.4119228,12.65584,12.38958,1.084036,-1.270778,-0.2342668,-0.1501914,0.1610684
-1,0.3,5,-5.257812,-1,0.13,1,1,48,2,2,10,0.3071246,12.44624,7.188424,0.07080065,0.5077238,-0.2894265,0.5781602,0.4000911
1,0.05,3,0.7807846,-1,0.05000001,0,0,49,2,2,10,0.1490577,12.93709,13.71787,-0.9607515,1.657525,1.8629,2.428289,1.784402
1,0.0125,1,0.3012791,1,0.12,1,1,50,2,2,10,1.777388,12.56612,12.8674,-0.03647484,1.049662,1.205947,-2.016663,1.51059
-1,0.05,3,-0.9061193,1,0.01999998,0,0,1,3,2,10,1.562247,12.57424,11.66812,-1.666697,-1.778503,-1.400671,-1.977655,-2.498755
-1,0.025,2,-0.2477255,-1,0.08999997,1,1,2,3,2,10,-0.1696442,12.49212,12.24439,-0.2291383,0.6251488,0.5663134,0.5890167,-0.01019742
-1,0.1,4,-1.343038,-1,0.06999999,1,1,3,3,2,10,-0.01271263,12.47614,11.1331,-0.5770863,-0.51661,0.3513149,0.02691722,-0.07731149
1,0.05,3,0.6270933,-1,0.07999998,0,0,4,3,2,10,0.3138192,12.75674,13.38383,-0.3982774,-0.02099414,0.187051,0.1605186,-0.4149676
-1,0.0125,1,-0.1463871,-1,0.12,1,1,5,3,2,10,1.161963,12.58726,12.44087,0.2294829,-0.5201975,-0.2274686,-0.7009198,-0.6625663
1,0.025,2,0.3739719,1,0.02999997,1,1,6,3,2,10,-0.2545058,12.8722,13.24617,-1.4163,1.206863,1.285511,-1.157248,-0.04179993
-1,0.3,5,-5.483399,-1,0.07999998,1,1,7,3,2,10,0.3389942,12.66621,7.182806,-0.3982774,0.3015036,0.565287,0.5190576,-0.06044183
1,0.1,4,1.734197,1,0,1,1,8,3,2,10,-0.5555559,12.90623,14.64042,-2.237055,1.1436,1.031381,-0.09190362,1.189155
1,0.05,3,1.039168,1,0.12,1,1,9,3,2,10,-0.5572773,12.58519,13.62435,0.2294829,1.277925,1.437236,1.244833,0.54651
-1,0.05,3,-0.696744,-1,0.17,1,1,10,3,2,10,0.4537334,12.75663,12.05989,0.870143,0.4778762,0.7227848,-0.7568569,-0.02883771
-1,0.0125,1,0.2381401,-1,0.13,1,0,11,3,2,10,-1.964095,12.56399,12.80213,0.3685416,2.449428,2.606319,2.042221,1.934153
1,0.05,3,0.8168688,1,0.21,1,1,12,3,2,10,0.324376,12.73903,13.5559,1.30232,0.01002003,0.3373044,-1.008045,-0.3840098
1,0.3,5,5.526353,1,0.01999998,1,1,13,3,2,10,-0.9174625,12.82168,18.34803,-1.666697,1.479377,1.744896,1.836071,1.115908
-1,0.0125,1,-0.1012897,1,0.07999998,0,0,14,3,2,10,-1.936764,12.61679,12.5155,-0.3982774,1.50008,2.313334,2.304372,2.461192
-1,0.0125,1,-0.2906513,-1,0.17,1,1,15,3,2,10,0.06303298,12.61477,12.32412,0.870143,0.6172865,0.9459818,0.9732879,0.1567301
1,0.1,4,1.574828,1,0.06999999,1,1,16,3,2,10,-1.149177,12.79838,14.37321,-0.5770863,2.016208,0.7240155,-1.835314,1.288214
1,0.3,5,5.449164,1,0.06,1,1,17,3,2,10,-1.504986,12.8113,18.26046,-0.7667388,0.303719,0.2229416,-0.07759561,0.9326228
-1,0.05,3,-0.6082125,-1,0.17,1,1,18,3,2,10,-2.879522,12.55418,11.94597,0.870143,2.816524,3.280087,2.36719,2.671229
1,0.0125,1,0.3623857,1,0.1,1,1,19,3,2,10,-0.1552753,12.62095,12.98334,-0.06867646,0.5767516,0.8448065,0.6030983,0.4153292
-1,0.025,2,-0.2362947,1,0.3,0,0,20,3,2,10,0.7316189,12.66623,12.42994,2.099702,-0.3142722,-0.4613587,-0.1419075,0.1540906
-1,0.1,4,-1.576369,1,0.17,0,0,21,3,2,10,0.9133821,12.53536,10.95899,0.870143,0.3198671,0.4894347,-0.4241649,-0.2820221
1,0.0125,1,0.5399418,1,0.15,1,1,22,3,2,10,-0.393178,12.52199,13.06193,0.6293848,1.039571,0.5581,0.2437275,0.2716841
-1,0.0125,1,-0.01718426,-1,0.19,1,1,23,3,2,10,0.8655275,12.59098,12.57379,1.093689,-1.765746,-0.8584335,-0.6994539,-0.3286344
-1,0.0125,1,-0.03017712,1,0.2,0,0,24,3,2,10,0.5438482,12.61419,12.58402,1.199743,0.2706099,0.7965127,-0.3774876,0.3839984
1,0.025,2,0.4894819,1,0.2,1,1,25,3,2,10,0.356878,12.69833,13.18782,1.199743,-1.15445,0.04076977,-0.1869585,-0.3675293
-1,0.05,3,-0.8717127,-1,0.21,1,1,26,3,2,10,0.04517594,12.6929,11.82118,1.30232,-0.5176849,-0.9672355,-0.3969347,0.1807626
1,0.05,3,1.150958,1,0.18,1,1,27,3,2,10,-0.1763476,12.46478,13.61574,0.9839123,-0.6258426,0.3296285,0.273246,0.5777532
1,0.3,5,5.552036,1,0.05000001,1,1,28,3,2,10,0.2853957,12.7134,18.26543,-0.9686351,-0.4914944,0.12969,0.2472365,0.266095
1,0.1,4,1.883502,1,0.25,1,1,29,3,2,10,-1.748897,12.74564,14.62914,1.681974,2.39482,2.371804,0.5675336,2.028878
-1,0.3,5,-5.146077,-1,0.17,1,1,30,3,2,10,0.4907612,12.44093,7.294856,0.870143,-0.377179,-0.1942001,-1.467551,0.1306153
1,0.025,2,0.3297091,1,0.11,1,1,31,3,2,10,-0.7272964,12.85175,13.18146,0.08395402,0.492885,1.141617,-1.455525,0.8635828
1,0.3,5,5.658986,1,0.15,1,1,32,3,2,10,-0.8359758,12.63985,18.29884,0.6293848,0.7922109,0.7609248,0.9921519,0.1362527
1,0.1,4,1.820687,1,0,1,1,33,3,2,10,-1.220793,12.81983,14.64051,-2.237055,-0.4074953,0.7766179,1.156603,0.9298817
-1,0.05,3,-0.8640175,1,0.06999999,0,0,34,3,2,10,-1.150066,12.69399,11.82997,-0.5770863,1.053376,1.411959,1.322601,1.592085
-1,0.05,3,-0.8380299,-1,0.13,1,1,35,3,2,10,-0.3054973,12.70785,11.86982,0.3685416,1.27982,1.190515,0.1615446,1.103998
